V1,V2
CTCF,STAT5A
CTCF,STAT6
CTCF,STAT4
CTCF,SMAD4
CTCF,SMAD3
CTCF,PAX6
CTCF,NFKB2
CTCF,LEF1
CTCF,E2F2
CTCF,CEBPA
CTCF,ATF4
CTCF,WT1
CTCF,TGIF1
CTCF,TCF7L1
CTCF,SOX9
CTCF,SOS1
CTCF,NR2F2
CTCF,NR2F1
CTCF,NFIL3
CTCF,MIF
CTCF,MAPK1
CTCF,FOXD1
CTCF,ESR2
CTCF,E2F7
CTCF,E2F5
CTCF,E2F3
CTCF,BPTF
CTCF,BBC3
CTCF,BACH2
CTCF,BACH1
CTCF,ATF6
CTCF,APC
CTCF,ASCL1
CTCF,ATM
CTCF,BRIP1
CTCF,HEYL
CTCF,NCOA3
CTCF,NOTCH4
CTCF,CEACAM5
CTCF,PRAME
CTCF,CEACAM6
CTCF,APC2
CTCF,PPM1D
CTCF,DLK1
CTCF,NMU
CTCF,ESM1
CTCF,ADH1B
CTCF,EPO
CTCF,HEPACAM
CTCF,FZD2
CTCF,FGF21
CTCF,MYEOV
CTCF,CXCL2
CTCF,MAGEC2
CTCF,FXYD1
CTCF,TNNI3
CTCF,AOC3
CTCF,RECQL5
CTCF,WNT10B
CTCF,PTEN
CTCF,INHBA
CTCF,IL19
CTCF,GBX2
CTCF,GADD45G
CTCF,A2ML1
CTCF,FABP6
CTCF,CASP14
CTCF,IGFL3
CTCF,MMP10
CTCF,PLK1
CTCF,RPS6KB1
CTCF,CDK6
CTCF,NMUR1
CTCF,HSPB6
CTCF,COMP
CTCF,HAPLN1
CTCF,CBLN2
CTCF,SCARA5
CTCF,HPD
CTCF,KCNH1
CTCF,LIPE
CTCF,NBN
CTCF,OXTR
CTCF,PDE1C
CTCF,DTL
CTCF,PHB
CTCF,MAP2K1
CTCF,BAK1
CTCF,BAX
CTCF,RAD51C
CTCF,CCND1
CTCF,TNXB
CTCF,WNT1
CTCF,WNT7A
CTCF,WNT11
CTCF,CA4
CTCF,CA9
CTCF,CDC73
CTCF,FAM83D
CTCF,RTBDN
CTCF,FGFBP2
CTCF,DGAT2
CTCF,WNT8A
CTCF,WNT7B
CTCF,WNT4
CTCF,WNT3A
CTCF,WNT3
CTCF,WNT16
CTCF,WNT10A
CTCF,WIF1
CTCF,VIT
CTCF,TRHDE
CTCF,STK32B
CTCF,SORBS1
CTCF,SLC2A4
CTCF,SLC22A18
CTCF,SHC4
CTCF,SCUBE2
CTCF,RTN4RL1
CTCF,RAD54L
CTCF,PYGM
CTCF,PPP2R2C
CTCF,PIK3R1
CTCF,PIK3CA
CTCF,PENK
CTCF,NQO2
CTCF,NPY2R
CTCF,NPR1
CTCF,NDC80
CTCF,NAT1
CTCF,MYOC
CTCF,MMP11
CTCF,MLXIPL
CTCF,MELK
CTCF,MASP1
CTCF,MAP1LC3C
CTCF,LRRN4CL
CTCF,LOC100133920
CTCF,LHX1
CTCF,KY
CTCF,KCNIP2
CTCF,JAG1
CTCF,ITLN1
CTCF,IL20
CTCF,IGF1
CTCF,HSD17B6
CTCF,HRAS
CTCF,HJURP
CTCF,HIST1H2AM
CTCF,HCN2
CTCF,GRM4
CTCF,GRIA2
CTCF,GFAP
CTCF,GDF10
CTCF,GADD45B
CTCF,FZD4
CTCF,FZD3
CTCF,FLT4
CTCF,FGF8
CTCF,FGF5
CTCF,FGF1
CTCF,EBF4
CTCF,DUSP13
CTCF,DLL3
CTCF,DLL1
CTCF,CXCL11
CTCF,CSMD3
CTCF,CSF3
CTCF,CRHBP
CTCF,CNN1
CTCF,CFD
CTCF,CENPA
CTCF,CAPSL
CTCF,CAPN9
CTCF,C14orf180
CTCF,BRAF
CTCF,BMPR1B
CTCF,ATOH8
CTCF,ACVR1C
CTCF,ACTL8
CTCF,ABCD2
CTCF,ABCA10
CTCF,AADAC
CTCF,SLC6A4
ZNF274,EBF1
ZNF274,EGR1
ZNF274,JUN
ZNF274,MYC
ZNF274,SP1
ZNF274,CREB1
ZNF274,EGR3
ZNF274,TCF3
ZNF274,MAPK1
ZNF274,PRAME
ZNF274,GNAZ
PPARGC1A,ESR1
PPARGC1A,ESRRA
PPARGC1A,NR3C1
PPARGC1A,HNF4A
PPARGC1A,MAX
PPARGC1A,MEF2A
PPARGC1A,NRF1
PPARGC1A,REST
PPARGC1A,RXRA
PPARGC1A,STAT3
PPARGC1A,USF2
PPARGC1A,TP53
PPARGC1A,PPARG
PPARGC1A,CREB1
PPARGC1A,HNF1A
PPARGC1A,AR
PPARGC1A,NR2F1
PPARGC1A,FOXO1
PPARGC1A,FOXD1
PPARGC1A,ESR2
PPARGC1A,ARNT
PPARGC1A,AHR
PPARGC1A,NCOA1
PPARGC1A,APOB
PPARGC1A,GSK3B
CHD2,HEY1
CHD2,GATA3
CHD2,HNF4A
CHD2,HNF4G
CHD2,IRF4
CHD2,POU2F2
CHD2,SP1
CHD2,SPI1
CHD2,BRCA1
CHD2,SREBF1
CHD2,SREBF2
CHD2,TAF1
CHD2,BCLAF1
CHD2,CREB1
CHD2,FOXJ2
CHD2,CUX1
CHD2,CEACAM5
CHD2,CEACAM6
CHD2,ALDH4A1
CHD2,DLK1
CHD2,MYEOV
CHD2,ITIH2
CHD2,FXYD1
CHD2,AOC3
CHD2,CASP14
CHD2,IGFL3
CHD2,DLK2
POLR3A,E2F1
POLR3A,EGR1
POLR3A,GABPA
POLR3A,MAX
POLR3A,MXI1
POLR3A,MYC
POLR3A,NFYA
POLR3A,PBX3
POLR3A,SMARCC2
POLR3A,SPI1
POLR3A,STAT1
POLR3A,USF1
POLR3A,E2F2
POLR3A,NFE2L1
POLR3A,CLEC5A
POLR3A,NOTCH3
POLR3A,NPR1
POLR3A,HIST1H2AM
POLR3A,DUSP13
POLR3A,HIST1H2BO
CTCFL,E2F6
CTCFL,EGR1
CTCFL,EP300
CTCFL,GTF2F1
CTCFL,FOXA2
CTCFL,HNF4A
CTCFL,HNF4G
CTCFL,JUND
CTCFL,MAX
CTCFL,MYC
CTCFL,ZBTB7A
CTCFL,RAD21
CTCFL,RFX5
CTCFL,RXRA
CTCFL,SMARCB1
CTCFL,SMARCC1
CTCFL,SP1
CTCFL,BRCA1
CTCFL,TAL1
CTCFL,TCF4
CTCFL,TFAP2A
CTCFL,TFAP2C
CTCFL,USF1
CTCFL,USF2
CTCFL,MAFK
CTCFL,BHLHE40
CTCFL,SMC3
CTCFL,STAT5A
CTCFL,MAPK1
CTCFL,PRAME
CTCFL,GNAZ
CTCFL,NBN
CTCFL,DTL
CTCFL,MAP2K1
SIX5,E2F1
SIX5,E2F4
SIX5,E2F6
SIX5,EGR1
SIX5,MAX
SIX5,MEF2C
SIX5,MXI1
SIX5,NFYA
SIX5,SP1
SIX5,BRCA1
SIX5,TFAP2A
SIX5,TFAP2C
SIX5,YY1
SIX5,STAT5A
SIX5,ELK1
SIX5,E2F2
SIX5,E2F7
SIX5,E2F5
SIX5,E2F3
SIX5,ATF6
SIX5,ARNT
SIX5,AHR
SIX5,PRAME
SIX5,RPS6KB2
SIX5,PHB
CTBP2,E2F1
CTBP2,EP300
CTBP2,GATA2
CTBP2,GATA3
CTBP2,FOXA2
CTBP2,MAX
CTBP2,MXI1
CTBP2,MYC
CTBP2,ATF3
CTBP2,PAX5
CTBP2,TFAP2A
CTBP2,USF1
CTBP2,STAT5A
CTBP2,CREB1
CTBP2,POU2F1
CTBP2,PAX6
CTBP2,LEF1
CTBP2,ATF4
CTBP2,ATF2
CTBP2,ATF1
CTBP2,WT1
CTBP2,TLX1
CTBP2,TGIF1
CTBP2,TFAP4
CTBP2,TCF7L2
CTBP2,TCF7L1
CTBP2,TCF7
CTBP2,POU3F3
CTBP2,POU3F2
CTBP2,POU3F1
CTBP2,PAX2
CTBP2,PATZ1
CTBP2,NR2F2
CTBP2,NR2F1
CTBP2,NKX2-2
CTBP2,MZF1
CTBP2,CLEC5A
CTBP2,HOXA9
CTBP2,FOXF2
CTBP2,FOXC1
CTBP2,CUX1
CTBP2,ATF7
CTBP2,ATF6
CTBP2,ATF5
CTBP2,ARNT
CTBP2,AHR
CTBP2,GATA4
CTBP2,PITX1
CTBP2,SIX3
CTBP2,FOXJ1
CTBP2,LHX2
CTBP2,WNT10B
CTBP2,PAX7
CTBP2,GBX2
CTBP2,COMP
CTBP2,WNT1
CTBP2,LHX1
CTBP2,EMX1
CTBP2,NXPH1
CTBP2,FEZF2
CTBP2,VGF
CTBP2,WNT5A
E2F1,E2F4
E2F1,E2F6
E2F1,ESR1
E2F1,ETS1
E2F1,SUZ12
E2F1,FOSL2
E2F1,SIN3A
E2F1,GATA1
E2F1,GATA2
E2F1,GATA3
E2F1,NR3C1
E2F1,FOXA2
E2F1,IRF1
E2F1,IRF3
E2F1,JUN
E2F1,JUND
E2F1,MAX
E2F1,MXI1
E2F1,MYC
E2F1,ATF3
E2F1,NFKB1
E2F1,PRDM1
E2F1,SMARCA4
E2F1,SP1
E2F1,SP2
E2F1,SPI1
E2F1,BRCA1
E2F1,TAF7
E2F1,TBP
E2F1,TCF4
E2F1,ZEB1
E2F1,TFAP2A
E2F1,NR2C2
E2F1,USF1
E2F1,YY1
E2F1,CCNT2
E2F1,SMC3
E2F1,TP53
E2F1,STAT5A
E2F1,RELA
E2F1,PPARG
E2F1,RORA
E2F1,POU2F1
E2F1,PAX6
E2F1,NFKB2
E2F1,MYB
E2F1,E2F2
E2F1,CEBPA
E2F1,AR
E2F1,TFAP4
E2F1,SOX9
E2F1,RXRG
E2F1,POU3F2
E2F1,PGR
E2F1,PAX2
E2F1,NR2F2
E2F1,NR2F1
E2F1,NFIL3
E2F1,MYBL2
E2F1,JUNB
E2F1,ESR2
E2F1,E2F7
E2F1,E2F5
E2F1,E2F3
E2F1,DDIT3
E2F1,CUX1
E2F1,CTNNB1
E2F1,CREBBP
E2F1,BPTF
E2F1,BBC3
E2F1,BACH1
E2F1,ATF7
E2F1,ATF5
E2F1,ARNT
E2F1,ATM
E2F1,BRIP1
E2F1,DDB2
E2F1,FOXM1
E2F1,HDAC1
E2F1,HES1
E2F1,INSM1
E2F1,MCM6
E2F1,NCOA3
E2F1,NOTCH2
E2F1,RAD51
E2F1,RB1
E2F1,E2F8
E2F1,EGF
E2F1,UHRF1
E2F1,CDKN1A
E2F1,GNAZ
E2F1,PPM1D
E2F1,LHX2
E2F1,CSAG1
E2F1,EPO
E2F1,MSH2
E2F1,CDC42BPA
E2F1,SAA2
E2F1,GBX2
E2F1,EXT1
E2F1,CHEK2
E2F1,EGFR
E2F1,PLK1
E2F1,RPS6KB1
E2F1,CDK6
E2F1,NBN
E2F1,OXTR
E2F1,DTL
E2F1,PHB
E2F1,RAD51C
E2F1,CCND1
E2F1,TNXB
E2F1,WNT1
E2F1,RTBDN
E2F1,RAD54L
E2F1,NDC80
E2F1,MELK
E2F1,LHX1
E2F1,HIST1H2AM
E2F1,BRAF
E2F1,BMPR1B
E2F1,GSK3B
E2F1,HIST1H2BO
E2F1,VGF
E2F1,WNT5A
E2F1,DCK
E2F1,MSH6
E2F1,NUSAP1
E2F1,RFC4
E2F1,RRM2
E2F1,WNT9A
E2F1,PRC1
E2F1,CCNE2
E2F1,PKMYT1
E2F1,IGF1R
E2F1,CDCA7
E2F1,TOP2A
E2F1,SLC6A4
E2F1,SLC2A3
E2F1,RUNDC1
E2F1,RET
E2F1,RDH16
E2F1,RASSF7
E2F1,PBK
E2F1,PALB2
E2F1,OXCT1
E2F1,NOTCH1
E2F1,NELL2
E2F1,NEK2
E2F1,LPL
E2F1,LIN9
E2F1,KLK3
E2F1,KIF4A
E2F1,KIF2C
E2F1,KCNJ16
E2F1,HOXC12
E2F1,HORMAD1
E2F1,HIST2H3C
E2F1,HIST1H3H
E2F1,HBA2
E2F1,GRIA4
E2F1,GPX3
E2F1,GMPS
E2F1,FZD9
E2F1,FZD10
E2F1,FANCM
E2F1,FANCC
E2F1,EXO1
E2F1,DLL4
E2F1,DACT2
E2F1,CHRDL1
E2F1,CENPF
E2F1,CDK4
E2F1,CDH20
E2F1,BRSK2
E2F1,AKT2
E2F1,ACSM5
E2F1,TNFSF11
E2F1,FLT1
E2F1,ECT2
E2F1,FGFR1
E2F1,PDK4
E2F1,FZD1
E2F4,ETS1
E2F4,SUZ12
E2F4,GABPA
E2F4,GATA1
E2F4,NR3C1
E2F4,HNF4A
E2F4,JUN
E2F4,MYC
E2F4,NFYA
E2F4,BCL11A
E2F4,REST
E2F4,SMARCA4
E2F4,SMARCB1
E2F4,SP1
E2F4,SPI1
E2F4,BRCA1
E2F4,TAF7
E2F4,TCF4
E2F4,ZEB1
E2F4,TFAP2C
E2F4,USF1
E2F4,YY1
E2F4,CCNT2
E2F4,SMC3
E2F4,TP53
E2F4,STAT5A
E2F4,PPARG
E2F4,SMAD4
E2F4,SMAD3
E2F4,REL
E2F4,PAX6
E2F4,NFKB2
E2F4,E2F2
E2F4,CEBPA
E2F4,AR
E2F4,TFAP4
E2F4,SOX9
E2F4,NR2F2
E2F4,NR2F1
E2F4,NFIL3
E2F4,NFE2L1
E2F4,MYBL2
E2F4,MAPK1
E2F4,E2F3
E2F4,DDIT3
E2F4,CUX1
E2F4,CTNNB1
E2F4,BACH1
E2F4,ATF7
E2F4,ATF5
E2F4,ATM
E2F4,BARD1
E2F4,FOXM1
E2F4,INSM1
E2F4,MCM6
E2F4,MYT1
E2F4,NOTCH2
E2F4,RAD51
E2F4,RB1
E2F4,UHRF1
E2F4,NUF2
E2F4,PPM1D
E2F4,LHX2
E2F4,COL4A2
E2F4,EPO
E2F4,MSH2
E2F4,ANLN
E2F4,BUB1
E2F4,CDC42BPA
E2F4,GBX2
E2F4,EXT1
E2F4,PLK1
E2F4,DTL
E2F4,CCND1
E2F4,TNXB
E2F4,RTBDN
E2F4,RAD54L
E2F4,NDC80
E2F4,MELK
E2F4,HIST1H2AM
E2F4,CENPA
E2F4,BMPR1B
E2F4,HIST1H2BO
E2F4,WNT5A
E2F4,MSH6
E2F4,NUSAP1
E2F4,RFC4
E2F4,RRM2
E2F4,WNT9A
E2F4,PRC1
E2F4,PKMYT1
E2F4,IGF1R
